"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Osceola County, FL","12097","White","2106-3","2020","2020",10,302492,3.3,1.6,6.1
,"Palm Beach County, FL","12099","White","2106-3","2018","2018",70,1112092,6.3,4.9,8.0
,"Palm Beach County, FL","12099","White","2106-3","2019","2019",69,1117321,6.2,4.8,7.8
,"Palm Beach County, FL","12099","White","2106-3","2020","2020",54,1122321,4.8,3.6,6.3
,"Palm Beach County, FL","12099","White","2106-3","2021","2021",34,1111529,3.1,2.1,4.3
,"Palm Beach County, FL","12099","White","2106-3","2022","2022",11,1124490,1.0,0.5,1.8
,"Pasco County, FL","12101","White","2106-3","2019","2019",13,484739,2.7,1.4,4.6
,"Pinellas County, FL","12103","White","2106-3","2018","2018",13,805704,1.6,0.9,2.8
,"Pinellas County, FL","12103","White","2106-3","2019","2019",29,804493,3.6,2.4,5.2
,"Polk County, FL","12105","White","2106-3","2019","2019",15,570852,2.6,1.5,4.3
,"Polk County, FL","12105","White","2106-3","2020","2020",13,583632,2.2,1.2,3.8
,"Sarasota County, FL","12115","White","2106-3","2018","2018",13,390562,3.3,1.8,5.7
,"Sarasota County, FL","12115","White","2106-3","2020","2020",14,405162,3.5,1.9,5.8
,"Seminole County, FL","12117","White","2106-3","2018","2018",25,369298,6.8,4.4,10.0
,"Seminole County, FL","12117","White","2106-3","2019","2019",15,370670,4.0,2.3,6.7
,"Seminole County, FL","12117","White","2106-3","2020","2020",15,370476,4.0,2.3,6.7
,"Volusia County, FL","12127","White","2106-3","2018","2018",48,459380,10.4,7.7,13.9
,"Volusia County, FL","12127","White","2106-3","2019","2019",30,463291,6.5,4.4,9.2
,"Volusia County, FL","12127","White","2106-3","2020","2020",43,469032,9.2,6.6,12.3
,"Volusia County, FL","12127","White","2106-3","2021","2021",19,470134,4.0,2.4,6.3
,"Volusia County, FL","12127","White","2106-3","2022","2022",10,480437,2.1,1.0,3.8
,"Carroll County, GA","13045","White","2106-3","2021","2021",10,92090,10.9,5.2,20.0
,"Chatham County, GA","13051","White","2106-3","2019","2019",13,153523,8.5,4.5,14.5
,"Chatham County, GA","13051","White","2106-3","2020","2020",12,152301,7.9,4.1,13.8
,"Cherokee County, GA","13057","White","2106-3","2018","2018",10,223103,4.5,2.1,8.2
,"Cherokee County, GA","13057","White","2106-3","2020","2020",11,230817,4.8,2.4,8.5
,"Cherokee County, GA","13057","White","2106-3","2021","2021",10,237983,4.2,2.0,7.7
,"Cobb County, GA","13067","White","2106-3","2018","2018",31,473819,6.5,4.4,9.3
