"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Boulder County, CO","08013","White","2106-3","2020","2020",13,294333,4.4,2.4,7.6
,"Boulder County, CO","08013","White","2106-3","2021","2021",10,296250,3.4,1.6,6.2
,"Boulder County, CO","08013","White","2106-3","2022","2022",10,293183,3.4,1.6,6.3
,"Boulder County, CO","08013","White","2106-3","2024 ","2024",14,293467,4.8,2.6,8.0
,"Denver County, CO","08031","Black or African American","2054-5","2020","2020",10,71866,13.9,6.7,25.6
,"Denver County, CO","08031","White","2106-3","2018","2018",30,578904,5.2,3.5,7.4
,"Denver County, CO","08031","White","2106-3","2019","2019",42,588470,7.1,5.1,9.6
,"Denver County, CO","08031","White","2106-3","2020","2020",65,594047,10.9,8.4,13.9
,"Denver County, CO","08031","White","2106-3","2021","2021",63,573034,11.0,8.4,14.1
,"Denver County, CO","08031","White","2106-3","2022","2022",37,572226,6.5,4.6,8.9
,"Denver County, CO","08031","White","2106-3","2023","2023",35,572932,6.1,4.3,8.5
,"Denver County, CO","08031","White","2106-3","2024 ","2024",31,578854,5.4,3.6,7.6
,"Douglas County, CO","08035","White","2106-3","2023","2023",12,336175,3.6,1.8,6.2
,"El Paso County, CO","08041","White","2106-3","2018","2018",28,594650,4.7,3.1,6.8
,"El Paso County, CO","08041","White","2106-3","2019","2019",25,600427,4.2,2.7,6.1
,"El Paso County, CO","08041","White","2106-3","2020","2020",31,604984,5.1,3.5,7.3
,"El Paso County, CO","08041","White","2106-3","2021","2021",40,611308,6.5,4.7,8.9
,"El Paso County, CO","08041","White","2106-3","2022","2022",25,611527,4.1,2.6,6.0
,"El Paso County, CO","08041","White","2106-3","2023","2023",29,612811,4.7,3.2,6.8
,"El Paso County, CO","08041","White","2106-3","2024 ","2024",19,615898,3.1,1.9,4.8
,"Jefferson County, CO","08059","White","2106-3","2018","2018",20,532081,3.8,2.3,5.8
,"Jefferson County, CO","08059","White","2106-3","2019","2019",21,533460,3.9,2.4,6.0
,"Jefferson County, CO","08059","White","2106-3","2020","2020",31,532304,5.8,4.0,8.3
,"Jefferson County, CO","08059","White","2106-3","2021","2021",22,528212,4.2,2.6,6.3
,"Jefferson County, CO","08059","White","2106-3","2022","2022",29,523676,5.5,3.7,8.0
,"Jefferson County, CO","08059","White","2106-3","2023","2023",25,522889,4.8,3.1,7.1
,"Jefferson County, CO","08059","White","2106-3","2024 ","2024",22,523068,4.2,2.6,6.4
,"Larimer County, CO","08069","White","2106-3","2019","2019",12,330336,3.6,1.9,6.3
,"Larimer County, CO","08069","White","2106-3","2021","2021",11,334300,3.3,1.6,5.9
,"Weld County, CO","08123","White","2106-3","2018","2018",14,291084,4.8,2.6,8.1
,"Fairfield County, CT","09001","Black or African American","2054-5","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","White","2106-3","2018","2018",26,742641,3.5,2.3,5.1
,"Fairfield County, CT","09001","White","2106-3","2019","2019",29,739179,3.9,2.6,5.6
,"Fairfield County, CT","09001","White","2106-3","2020","2020",43,734017,5.9,4.2,7.9
,"Fairfield County, CT","09001","White","2106-3","2021","2021",32,745052,4.3,2.9,6.1
,"Fairfield County, CT","09001","White","2106-3","2022","2022",34,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","White","2106-3","2023","2023",22,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","White","2106-3","2024 ","2024",20,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","White","2106-3","2018","2018",29,671681,4.3,2.9,6.2
,"Hartford County, CT","09003","White","2106-3","2019","2019",40,666859,6.0,4.3,8.2
,"Hartford County, CT","09003","White","2106-3","2020","2020",39,659045,5.9,4.2,8.1
,"Hartford County, CT","09003","White","2106-3","2021","2021",38,661351,5.7,4.1,7.9
,"Hartford County, CT","09003","White","2106-3","2022","2022",38,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","White","2106-3","2023","2023",27,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","White","2106-3","2024 ","2024",16,Not Available,Not Available,Not Available,Not Available
,"Litchfield County, CT","09005","White","2106-3","2018","2018",14,169456,8.3,4.5,13.9
,"Litchfield County, CT","09005","White","2106-3","2019","2019",12,168181,7.1,3.7,12.5
,"Litchfield County, CT","09005","White","2106-3","2020","2020",13,166876,7.8,4.1,13.3
,"Litchfield County, CT","09005","White","2106-3","2022","2022",12,Not Available,Not Available,Not Available,Not Available
,"Litchfield County, CT","09005","White","2106-3","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Middlesex County, CT","09007","White","2106-3","2018","2018",11,144706,7.6,3.8,13.6
,"Middlesex County, CT","09007","White","2106-3","2019","2019",15,144077,10.4,5.8,17.2
,"Middlesex County, CT","09007","White","2106-3","2020","2020",11,142797,7.7,3.8,13.8
,"New Haven County, CT","09009","Black or African American","2054-5","2019","2019",12,129807,9.2,4.8,16.1
,"New Haven County, CT","09009","Black or African American","2054-5","2020","2020",11,133090,8.3,4.1,14.8
