"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"King County, WA","53033","Not Available","10","2020","2020",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pierce County, WA","53053","Not Available","10","2018","2018",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pierce County, WA","53053","Not Available","10","2020","2020",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Snohomish County, WA","53061","High school graduate or GED completed","3","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Snohomish County, WA","53061","Not Available","10","2018","2018",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Snohomish County, WA","53061","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Snohomish County, WA","53061","Not Available","10","2020","2020",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Spokane County, WA","53063","High school graduate or GED completed","3","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Berkeley County, WV","54003","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dane County, WI","55025","Not Available","10","2020","2020",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Milwaukee County, WI","55079","High school graduate or GED completed","3","2021","2021",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
